,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Description
466,0833511009,10.0,Four Tragedies: Hamlet/Othello/King Lear/Macbeth (Bantam Classics),William Shakespeare,1999,Sagebrush Bound,http://images.amazon.com/images/P/0833511009.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0833511009.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0833511009.01.LZZZZZZZ.jpg,"Contains Hamlet, Othello, King Lear and Macbeth."
467,0832903701,10.0,The Book of the Black Bear,Richard P. Smith,1985,New Win Pub,http://images.amazon.com/images/P/0832903701.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0832903701.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0832903701.01.LZZZZZZZ.jpg,
468,0832903507,10.0,Orvis Fly Fishing Guide (Nick Lyons Books),Tom Rosenbauer,1984,New Win+publishing,http://images.amazon.com/images/P/0832903507.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0832903507.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0832903507.01.LZZZZZZZ.jpg,"Now for the first time in full color, The Orvis Fly-Fishing Guide appears in a completely revised and updated edition that solidifies its place as the flagship title of the Orvis books. A best-selling, fully illustrated, and comprehensive book, this large-format volume has been required reading for every angler for the past two decades."
469,0832605522,10.0,Polish cookbook (Adventures in cooking series),Culinary Arts Institute,1976,The Institute,http://images.amazon.com/images/P/0832605522.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0832605522.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0832605522.01.LZZZZZZZ.jpg,
470,0831795492,10.0,The World Atlas of Golf,Pat Ward Thomas,1991,Smithmark Publishers,http://images.amazon.com/images/P/0831795492.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0831795492.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0831795492.01.LZZZZZZZ.jpg,"Surveys the history of golf and explores the sport as it is played today by describing seventy of the world's finest courses in hole-by-hole detail, as well as discussing over one hundred additional courses"
471,0831787872,10.0,Tokyo,Mitzi Bales,1986,Smithmark Pub,http://images.amazon.com/images/P/0831787872.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0831787872.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0831787872.01.LZZZZZZZ.jpg,
472,0831786981,10.0,"Texas, the Lone Star State (Spotlight on the Best Cities, States and Countries)",Carole Chester,1985,Smithmark Pub,http://images.amazon.com/images/P/0831786981.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0831786981.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0831786981.01.LZZZZZZZ.jpg,"Photographs and text portray the history, geography, economy, cities, rural areas, and social life of Texas."
473,083177830X,10.0,SOS: Elephant,Jill Bailey,1991,Smithmark Publishers,http://images.amazon.com/images/P/083177830X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/083177830X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/083177830X.01.LZZZZZZZ.jpg,
474,0831776501,10.0,Safari: A Photographic Adventure Through Africa,Gunter Ziesler,1990,Smithmark Pub,http://images.amazon.com/images/P/0831776501.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0831776501.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0831776501.01.LZZZZZZZ.jpg,
475,0831771135,10.0,The Prehistoric World,Giorgio Panini,1988,Smithmark Publishers,http://images.amazon.com/images/P/0831771135.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0831771135.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0831771135.01.LZZZZZZZ.jpg,
476,0831769750,10.0,Exploring the Planets (Exploring Series),Brian Jones,1991,Popular Culture Ink,http://images.amazon.com/images/P/0831769750.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0831769750.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0831769750.01.LZZZZZZZ.jpg,"This book tells of recent discoveries concerning the planets, and also assesses what we now know about our Solar System in the light of those discoveries."
477,0831759267,10.0,Dragons: An Anthology of Verse and Prose (Gift Series),Anness Publishing,1996,Smithmark Publishers,http://images.amazon.com/images/P/0831759267.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0831759267.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0831759267.01.LZZZZZZZ.jpg,
478,0831748680,10.0,Impressionism,Belinda Thomson,1995,Smithmark Publishers,http://images.amazon.com/images/P/0831748680.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0831748680.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0831748680.01.LZZZZZZZ.jpg,
479,0831739363,10.0,Greece and the Greek Islands,James Ryan,1986,Smithmark Pub,http://images.amazon.com/images/P/0831739363.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0831739363.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0831739363.01.LZZZZZZZ.jpg,
480,0831732288,10.0,Week by Week Guide to Your Baby's First Year,Maggie Jones,1991,Popular Culture Ink,http://images.amazon.com/images/P/0831732288.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0831732288.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0831732288.01.LZZZZZZZ.jpg,
481,083172790X,10.0,The Encyclopedia of Ancient Civilizations,Arthur Cotterell,1983,Smithmark Pub,http://images.amazon.com/images/P/083172790X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/083172790X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/083172790X.01.LZZZZZZZ.jpg,
482,0836262093,10.0,Roger Eberts Home Movie Companion 400,Roger Ebert,1985,Andrews Mcmeel,http://images.amazon.com/images/P/0836262093.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836262093.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836262093.01.LZZZZZZZ.jpg,
483,0836267583,10.0,Mary Engelbreit'S Cookies,Mary Engelbreit,1998,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836267583.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836267583.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836267583.01.LZZZZZZZ.jpg,
484,0842373624,10.0,Passion: Photography from the Movie the Passion of the Christ,Mel Gibson,2003,Tyndale House Publishers,http://images.amazon.com/images/P/0842373624.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842373624.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842373624.01.LZZZZZZZ.jpg,Sams Local $24.99 03-04-2004.
485,0842372334,10.0,"Holy Bible, New Living Translation: Metal, Silver (Heavy Metal Bible Series)",Tyndale,2002,Tyndale House Publishers,http://images.amazon.com/images/P/0842372334.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842372334.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842372334.01.LZZZZZZZ.jpg,
486,0842371907,10.0,'Round the Corner (Sister Circle),Vonette Bright,2003,Tyndale House Publishers,http://images.amazon.com/images/P/0842371907.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842371907.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842371907.01.LZZZZZZZ.jpg,Evelyn Peerbaugh is apprehensive about her new boarders and hopes that they soon become a part of a new life-changing sister circle.
487,0842370668,10.0,Life Application New Testament Commentary (Life Application Bible Commentary),Bruce B. Barton,2001,Tyndale House Publishers,http://images.amazon.com/images/P/0842370668.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842370668.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842370668.01.LZZZZZZZ.jpg,"Based on the best-selling Life Application Commentary series, this single, handy volume holds practical, concise insight on every verse in the New Testament. A key resource for anyone who wants to understand the New Testament and how it applies to real life."
488,084236594X,10.0,The Lies of Saints,Sigmund Brouwer,2003,Tyndale House Publishers,http://images.amazon.com/images/P/084236594X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/084236594X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/084236594X.01.LZZZZZZZ.jpg,
489,0842365753,10.0,Blind Sight (Moving Fiction),James H. Pence,2003,Tyndale House Publishers,http://images.amazon.com/images/P/0842365753.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842365753.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842365753.01.LZZZZZZZ.jpg,Before Thomas Kent can commit suicide he receives a mysterious e-mail. Now Thomas holds the only evidence for the destruction of a dangerous cult that threatens the country's future and he must cast aside his fear and act beforeit is too late.
490,0842364412,10.0,Stranger Within the Gates (The Grace Livingston Hill Series No. 14),Grace Livingston Hill,1990,Tyndale House Pub,http://images.amazon.com/images/P/0842364412.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842364412.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842364412.01.LZZZZZZZ.jpg,
491,0842364366,10.0,Dangerous Sanctuary (Camp Hope #1),Lois Richer,2004,Tyndale House Publishers,http://images.amazon.com/images/P/0842364366.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842364366.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842364366.01.LZZZZZZZ.jpg,"Georgia MacGregor is trying to escape from her painful past. Seeking sanctuary from her problems, she accepts a position at Camp Hope, a summer camp in the north woods of Canada. But when Georgia moves to camp, strange things begin to happen, and she fears she is being stalked. Who can save her from this lurking threat? This page-turner will satisfy readers with edge-of-your-seat excitement and a heartwarming love story."
492,084235803X,10.0,Attack on Petra (Left Behind: The Kids #33),Jerry Jenkins,2004,Tyndale Kids,http://images.amazon.com/images/P/084235803X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/084235803X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/084235803X.01.LZZZZZZZ.jpg,"Story follows teens who were left behind and have nothing left but their newfound faith in Jesus Christ. Determined to stand up for God no matter what the cost, they are tested at every turn."
493,0842357645,10.0,The Power of Parent-Child Play,Laurie Winslow Sargent,2003,Tyndale House Publishers,http://images.amazon.com/images/P/0842357645.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842357645.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842357645.01.LZZZZZZZ.jpg,"Showing parents how having fun with their kids can teach values, enhance confidence, and reduce the need for discipline, Sargent guides parents in finding creative ways to play with their children and experience the benefit of good memories, closer relationships, and increased emotional stability of kids."
494,0842353623,10.0,Firefly Blue,Jake Thoene,2003,Tyndale House Publishers,http://images.amazon.com/images/P/0842353623.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842353623.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842353623.01.LZZZZZZZ.jpg,"Chapter 16, the FBI's counterterrorism unit, recovers a hijacked shipment of sodium cyanide during a hostage intervention."
495,0836267869,10.0,Fairy Garden: Fairies of the Four Seasons,Tom Cross,1998,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836267869.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836267869.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836267869.01.LZZZZZZZ.jpg,"Once upon a time only those who truly believed in fairies could see them dancing across the lawn, balancing upon a twisted limb, or frolickling among the flowers. But now, everyone can discover fairy-magic, thanks to the cleverly creative work of illustrator Tom Cross."
496,0842353607,10.0,"Money, Possessions, and Eternity",Randy Alcorn,2003,Tyndale House Publishers,http://images.amazon.com/images/P/0842353607.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842353607.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842353607.01.LZZZZZZZ.jpg,
497,0842352899,10.0,"Into the Nevernight (The Children's Voices Series, Book 1)",Anne De Graaf,2003,Tyndale House Publishers,http://images.amazon.com/images/P/0842352899.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842352899.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842352899.01.LZZZZZZZ.jpg,
498,0842345426,10.0,107 Questions Children Ask about Prayer (Questions Children Ask),Daryl Lucas,1998,Tyndale House Publishers,http://images.amazon.com/images/P/0842345426.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842345426.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842345426.01.LZZZZZZZ.jpg,"Includes more than 100 entries, beginning with real questions which children have asked and followed by answers, key verses, related verses, and related questions. Notes to parents offer additional tips for handling certain issues."
499,0842342281,10.0,TouchPoints for Hurting People,Sanford Hull,2004,Tyndale House Publishers,http://images.amazon.com/images/P/0842342281.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842342281.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842342281.01.LZZZZZZZ.jpg,"Speaking directly to the variety of disappointments faced at different times in life, this pocket-sized book guides those who are suffering to the truths of Scripture, helping them to hold to the unswerving promises of God."
500,0842340351,10.0,Life Application Study Bible NKJV,Tyndale,2000,Tyndale House Publishers,http://images.amazon.com/images/P/0842340351.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842340351.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842340351.01.LZZZZZZZ.jpg,"This bestselling study Bible contains more than 10,000 life applications to help readers apply the truths of God's Word to everyday life. Includes book introductions, in-text maps and charts, personality profiles and more."
501,0842339108,10.0,In the Footsteps of Jesus,Max Lucado,2000,Tyndale House Publishers,http://images.amazon.com/images/P/0842339108.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842339108.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842339108.01.LZZZZZZZ.jpg,"When you follow in the footsteps of Jesus, your journey is one of hope and promise. In the Footsteps of Jesus combines powerful quotes from best-selling author Max Lucado with Scripture from the New Living Translation and beautiful images of the Holy Lands. Find refreshing truth and a greater understanding of Jesus' personal touch in your life today. Book jacket."
502,084233839X,10.0,The Divine Drama: Discovering Your Part in God's Story,Kurt D. Bruner,2002,Tyndale House Publishers,http://images.amazon.com/images/P/084233839X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/084233839X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/084233839X.01.LZZZZZZZ.jpg,
503,0842373640,10.0,The Salt Garden,Cindy McCormick Martinusen,2004,Tyndale House Publishers,http://images.amazon.com/images/P/0842373640.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842373640.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842373640.01.LZZZZZZZ.jpg,
504,0842375090,10.0,Second Touch (A. D. Chronicles #2),Bodie Thoene,2004,Tyndale House Publishers,http://images.amazon.com/images/P/0842375090.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842375090.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842375090.01.LZZZZZZZ.jpg,"In first-century Jerusalem, Peniel, a once blind begger, and the lepers in the Valley of Mak'ob are all looking for Yeshua, who has gone to Galilee, while Caiaphas and Herod are trying to find a way to arrest him."
505,0842379304,10.0,Walking With the Savior,Max Lucado,1996,Tyndale House Publishers,http://images.amazon.com/images/P/0842379304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842379304.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842379304.01.LZZZZZZZ.jpg,"In this book, selections from some of Max Lucado's best-loved inspirational writings are combined with Scripture and beautiful full-color photographs and artwork to provide an uplifting view of our walk with the Savior."
506,0842382836,10.0,"Degrees of Guilt: Miranda's Story (Degrees of Guilt, 2)",Melody Carlson,2003,Thirsty Books,http://images.amazon.com/images/P/0842382836.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842382836.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842382836.01.LZZZZZZZ.jpg,"High school senior Miranda Sanchez wants to change her boring life and, despite the concerns of her friend Sammy, she decides to become a ""wild child,"" until her partying ends up in disaster."
507,0843733756,10.0,European Detours: A Travel Guide to Unusual Sights,Nino Lo Bello,1981,Langenscheidt Pub Inc,http://images.amazon.com/images/P/0843733756.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843733756.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843733756.01.LZZZZZZZ.jpg,"Describes offbeat and bizarre tourist attractions in England and Europe, and provides the stories behind them"
508,0843718366,10.0,Hammond World Atlas (Hammond Atlas of the World),Theodore Roethke,2002,Hammond World Atlas Corporation,http://images.amazon.com/images/P/0843718366.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843718366.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843718366.01.LZZZZZZZ.jpg,
509,0843711299,10.0,The Times atlas of world history,Barracl,1984,Hammond,http://images.amazon.com/images/P/0843711299.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843711299.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843711299.01.LZZZZZZZ.jpg,"Combines the visual detail of excitement of an atlas with a full-scale narrative of world history from the earliest times to the present. Contains over 600 maps and illustrations and 300,000 words of narrative, glossary, and index."
510,0843711213,10.0,"Hammond Concise Atlas of World History (Hammond Concise Atlas of World History, 5th ed)",Geoffrey Barraclough,1998,Hammond,http://images.amazon.com/images/P/0843711213.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843711213.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843711213.01.LZZZZZZZ.jpg,Combines the visual detail of an atlas with a comprehensive narrative of world history from ancient times to the present
511,0843129654,10.0,"Oh My, a Fly! (Minipops)",Jan Pienkowski,1991,Price Stern Sloan,http://images.amazon.com/images/P/0843129654.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843129654.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843129654.01.LZZZZZZZ.jpg,
512,0843122749,10.0,Amazing but True (Amazing Mini Book Series),Owl Magazine,1988,Price Stern Sloan,http://images.amazon.com/images/P/0843122749.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843122749.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843122749.01.LZZZZZZZ.jpg,
513,0843119063,10.0,"Who's in the Box, Bobby",Pat Paris,1987,Price Stern Sloan Pub (J),http://images.amazon.com/images/P/0843119063.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843119063.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843119063.01.LZZZZZZZ.jpg,
514,0843114819,10.0,Little Miss Fickle (Little Miss Books),Roger Hargreaves,1985,Price Stern Sloan Pub (J),http://images.amazon.com/images/P/0843114819.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843114819.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843114819.01.LZZZZZZZ.jpg,"Little Miss Fickle can never make up her mind about anything, and spends three days just deciding which book to borrow from the library."
515,0843112417,10.0,Little Monsters,Jan Pienkowski,1986,Price Stern Sloan,http://images.amazon.com/images/P/0843112417.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843112417.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843112417.01.LZZZZZZZ.jpg,Little monsters with pop-ups.
516,0843106212,10.0,Totally Awesome Val Guide,Jodie Ann Posserello,1982,Putnam Pub Group,http://images.amazon.com/images/P/0843106212.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843106212.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843106212.01.LZZZZZZZ.jpg,
517,0843104732,10.0,Big Boobs is,George Woodard,1979,Price Stern Sloan,http://images.amazon.com/images/P/0843104732.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843104732.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843104732.01.LZZZZZZZ.jpg,
518,0843100559,10.0,The Original #1 Mad Libs (Price Stern Sloan Classic),Roger Price,1958,Price Stern Sloan,http://images.amazon.com/images/P/0843100559.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0843100559.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0843100559.01.LZZZZZZZ.jpg,
519,0842504699,10.0,Creative Woodturning,Dale L. Nish,1976,Friends of the Library,http://images.amazon.com/images/P/0842504699.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842504699.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842504699.01.LZZZZZZZ.jpg,
520,0842387765,10.0,Crucible (Left Behind Military #2),Mel Odom,2004,Tyndale House Publishers,http://images.amazon.com/images/P/0842387765.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842387765.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842387765.01.LZZZZZZZ.jpg,"First Sergeant Samuel Adams and the 75th Army Rangers fight to hold Sanliurfa, Turkey, against enemy forces at the end of the world while his wife, Megan, struggles with the disappearance of her youngest son."
521,0842387153,10.0,The Weeping Chamber,Sigmund Brouwer,2004,Tyndale House Publishers,http://images.amazon.com/images/P/0842387153.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842387153.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842387153.01.LZZZZZZZ.jpg,"Simeon's life is falling apart, and he fears he may never see his wife and daughter again. As he arrives in Jerusalem for Passover, he is looking for a miracle. In this repackaged edition, best-selling author Sigmund Brouwer retells the passion of Christ through the eyes of one man as he experiences an astonishing encounter with Christ in his last hours of life."
522,0842385231,10.0,"End of State (Political Thriller Left Behind, 1)",Neesa Hart,2004,Tyndale House Publishers,http://images.amazon.com/images/P/0842385231.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842385231.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842385231.01.LZZZZZZZ.jpg,The first installment of a political thriller series based on the Left Behind series explores the world of politics and government as it is irrevocably changed by the Rapture.
523,0842382852,10.0,"Tyrone's Story (Degrees of Guilt, 3)",Sigmund Brouwer,2003,Thirsty Books,http://images.amazon.com/images/P/0842382852.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842382852.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842382852.01.LZZZZZZZ.jpg,Eighteen-year-old Tyrone Larson ponders the events of his life that led to his part in the death of a high school friend from a drug overdose.
524,0842382844,10.0,"Degrees of Guilt: Kyra's Story (Degrees of Guilt, 1)",Dandi Daley MacKall,2003,Thirsty Books,http://images.amazon.com/images/P/0842382844.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842382844.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842382844.01.LZZZZZZZ.jpg,
525,0842333452,10.0,How to Share Your Faith,Greg Laurie,1999,Tyndale House Publishers,http://images.amazon.com/images/P/0842333452.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842333452.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842333452.01.LZZZZZZZ.jpg,"One of America's premier evangelists provides a practical, step-by-step guide to help Christians share Christ with their friends and neighbors."
526,084233341X,10.0,The Life Recovery Bible: New Living Translation,David A. Stoop,1998,Tyndale House Publishers,http://images.amazon.com/images/P/084233341X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/084233341X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/084233341X.01.LZZZZZZZ.jpg,"Recovery themes Book introductions and outlines 12-step devotionals with recovery principles Serenity prayer Recovery profiles of key Bible people Indexable Imprintable 1,664 pp."
527,0840776527,10.0,The Children's Bible Story Book,Anne Degraaf,1991,Thomas Nelson,http://images.amazon.com/images/P/0840776527.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0840776527.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0840776527.01.LZZZZZZZ.jpg,
528,0840763352,10.0,Reflecting His Image:  Discovering Your Worth In Christ From A To Z,Liz Curtis Higgs,1996,Nelson Books,http://images.amazon.com/images/P/0840763352.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0840763352.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0840763352.01.LZZZZZZZ.jpg,"The author of One Size Fits All and Other Fables and Only Angels Can Wing It offers a beautifully designed book that takes a look at self-image. Using every letter of the alphabet, Higgs lists the different names believers are called in the Bible, as well as the names of Christ, to help women find inspiration and encouragement when they feel their identities getting lost in the ""busyness"" of everyday life."
529,0840754655,10.0,Answers to 200 of Life's Most Probing Questions,Pat Robertson,1992,Thomas Nelson Inc,http://images.amazon.com/images/P/0840754655.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0840754655.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0840754655.01.LZZZZZZZ.jpg,"Discusses the answers in the Bible to common questions concerning God, Christ, salvation, the Church, marriage, and ethics"
530,0840752989,10.0,101 Ways to Your Husbands Heart/Wifes Heart,"Nick and Allan, Rosie Allan",1983,Thomas Nelson Inc,http://images.amazon.com/images/P/0840752989.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0840752989.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0840752989.01.LZZZZZZZ.jpg,"Keeping a marriage fresh is not easy. It takes hard work, discipline, and a sense of humor. The Allans have taken their experiences and put together this wonderful tool for adding a little spice to marriage. 101 Ways to Your Wife's/Husband's Heart offers creative, zany and interesting ways to put some romance back into marriage."
531,0840749554,10.0,Nelson's Illustrated Bible Dictionary,Herbert Lockyer,1986,Thomas Nelson,http://images.amazon.com/images/P/0840749554.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0840749554.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0840749554.01.LZZZZZZZ.jpg,"Provides brief discussions of more than 5,000 people, places, and concepts in the Old and New Testaments."
532,0840748957,10.0,"When Heaven Is Silent: Live by Faith, Not by Sight",Ronald Dunn,1994,Thomas Nelson Inc,http://images.amazon.com/images/P/0840748957.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0840748957.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0840748957.01.LZZZZZZZ.jpg,
533,0840730756,10.0,Beginning Again,Terry Hershey,1987,Thomas Nelson Inc,http://images.amazon.com/images/P/0840730756.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0840730756.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0840730756.01.LZZZZZZZ.jpg,
534,0840730411,10.0,Behold the Family Circus,Bil Keane,1989,Thomas Nelson Inc,http://images.amazon.com/images/P/0840730411.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0840730411.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0840730411.01.LZZZZZZZ.jpg,
535,0840712634,10.0,Precious Moments Bible/Catholic Edition/Today's English Version/1270W/White-Leather-Flex,Not Applicable (Na ),1991,Thomas Nelson Inc,http://images.amazon.com/images/P/0840712634.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0840712634.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0840712634.01.LZZZZZZZ.jpg,
536,0838408230,10.0,"El arte de la conversaci?n, El arte de la composici?n Text/Atajo Package",Jos̩ Luis S. Ponce de L̩on,2000,Heinle,http://images.amazon.com/images/P/0838408230.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0838408230.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0838408230.01.LZZZZZZZ.jpg,
537,0838402089,10.0,Well Said: Pronunciation for Clear Communication,Linda Grant,2000,Heinle &amp; Heinle Publishers,http://images.amazon.com/images/P/0838402089.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0838402089.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0838402089.01.LZZZZZZZ.jpg,
538,0837869463,10.0,All Things Bright and Beautiful,Laura Lanier,1993,Peggy Pinson,http://images.amazon.com/images/P/0837869463.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0837869463.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0837869463.01.LZZZZZZZ.jpg,
