,Book-Author,Description
611,Terrence McNally,"Terrence McNally was an American playwright, librettist, and screenwriter."
612,Constance O'Day-Flannery,Constance O'Day-Flannery is an American author of romance novels.
613,Judith Reitman,
614,Jo Beverley,Mary Josephine Beverley was a prolific English-Canadian writer of historical and contemporary romance novels from 1988 to 2016.
615,Mark Seliger,"Mark Alan Seliger is an American photographer noted for his portraiture. From 1992 to 2002, he was Chief Photographer for Rolling Stone, during which time he shot over 188 covers for the magazine. From 2002 to 2012 he was under contract with Condé Nast Publications for GQ and Vanity Fair and has shot for numerous other magazines. Seliger has published a number of books, including When They Came to Take My Father: Voices of the Holocaust, Physiognomy, and On Christopher Street: Transgender Stories, and his photographs are included in the permanent collections of the National Portrait Gallery at the Smithsonian Institution, the Museum of Fine Arts in Houston, and the National Portrait Gallery in London. He has done advertising work for Adidas, Amazon, Anheuser-Busch, Apple, Dom Pérignon, Fila, Gap, HBO, Hourglass Cosmetics, Hulu, KITH, Lee Jeans, Levi's, McDonald's, Netflix, Ralph Lauren, Ray-Ban, Rolex, Showtime, Sony, Universal and Viacom, among others. He is also the lead singer of the country band Rusty Truck."
617,Man Ray,"Man Ray was an American visual artist who spent most of his career in Paris. He was a significant contributor to the Dada and Surrealist movements, although his ties to each were informal. He produced major works in a variety of media but considered himself a painter above all. He was best known for his pioneering photography, and was a renowned fashion and portrait photographer. He is also noted for his work with photograms, which he called ""rayographs"" in reference to himself."
618,Debra Marlin,
619,Edward S. Curtis,"Edward Sherriff Curtis was an American photographer and ethnologist whose work focused on the American West and on Native American people. Sometimes referred to as the ""Shadow Catcher"", Curtis traveled the United States to document and record the dwindling ways of life of various native tribes through photographs and audio recordings."
620,David Hockney,"David Hockney is an English painter, draftsman, printmaker, stage designer, and photographer. As an important contributor to the pop art movement of the 1960s, he is considered one of the most influential British artists of the 20th century."
621,Christos Kondeatis,
622,Sarah Bartlett,"Sarah Bartlett is an American journalist and academic. She is dean emerita of The Craig Newmark Graduate School of Journalism at the City University of New York, having retired from the deanship in June 2022. Bartlett is a charter faculty member of the journalism school, which was founded in 2006 as the CUNY Graduate School of Journalism. As dean, Bartlett oversaw the launch of the first bilingual Spanish language graduate journalism program in the US and the school's first social journalism MA program. In 2018, Bartlett and the CUNY Board of Trustees named the school after craigslist founder Craig Newmark, in recognition of his $20 million gift to the endowment."
623,Metropolitan Museum of Art,"
"
624,Thomas Parsons,"Thomas Parsons may refer to:Thomas Parsons (baseball), American baseball player
Thomas Parsons (politician) (1814–1873), American politician from New York
Thomas Parsons (priest), Irish Anglican priest
Thomas William Parsons (1819–1892), American dentist and poet"
625,Bernard Denvir,
626,John Margolies,"John Samuel Margolies was an architectural critic, photographer, and author who was noted for celebrating vernacular and novelty architecture in the United States, particularly those designed as roadside attractions. Starting from the mid-1970s, he began to photograph sites during long road trips, since he was concerned these sites would be displaced by the growing modernist trend. He was credited with shaping postmodern architecture and recognizing buildings that would be added to the National Register of Historic Places through his documentary work. Starting in 2007, the Library of Congress began to acquire his photographs, and created the public domain John Margolies Roadside America Photograph Archive in 2016, consisting of 11,710 scans of color slides taken by Margolies."
627,Ansel Adams,"Ansel Easton Adams was an American landscape photographer and environmentalist known for his black-and-white images of the American West. He helped found Group f/64, an association of photographers advocating ""pure"" photography which favored sharp focus and the use of the full tonal range of a photograph. He and Fred Archer developed a system of image-making called the Zone System, a method of achieving a desired final print through a technical understanding of how the tonal range of an image is the result of choices made in exposure, negative development, and printing."
628,Patrick Mauries,
629,Linda McCartney,"Linda Louise McCartney, Lady McCartney was an American photographer, musician, animal rights activist, vegetarian cookbook author and advocate, and entrepreneur. She was the keyboardist in the band Wings, which also featured her husband, Paul McCartney, a former member of the Beatles."
630,Pamela Norris,"Pamela Norris is an American screenwriter and producer. She is best known for her work on the NBC sketch comedy series Saturday Night Live (1980–1984), and for co-writing the screenplay of the 1989 film Troop Beverly Hills. She was executive producer of the sitcom Designing Women., and The Huntress on USA Network. She was a Jeopardy! champion in December 1985, winning three games."
631,Bonnie Schiffman,
632,Kate Farrell,
633,James H. Duff,"James Henderson Duff was an American lawyer and politician. A member of the Republican Party, he served as United States Senator from Pennsylvania from 1951 to 1957. Previously he had served as the 34th governor of Pennsylvania from 1947 to 1951."
634,Emily Dickinson,"Emily Elizabeth Dickinson was an American poet. Little-known during her life, she has since been regarded as one of the most important figures in American poetry. Dickinson was born in Amherst, Massachusetts, into a prominent family with strong ties to its community. After studying at the Amherst Academy for seven years in her youth, she briefly attended the Mount Holyoke Female Seminary before returning to her family's home in Amherst. Evidence suggests that Dickinson lived much of her life in isolation. Considered an eccentric by locals, she developed a penchant for white clothing and was known for her reluctance to greet guests or, later in life, even to leave her bedroom. Dickinson never married, and most friendships between her and others depended entirely upon correspondence."
635,Ben Maddow,"Ben Maddow was an American screenwriter and documentarian from the 1930s through the 1970s. Educated at Columbia University, Maddow began his career working within the American documentary movement in the 1930s."
636,Robert Ter Horst,
638,Stephanie Hoppen,
639,Teresa Howard,
640,Smithsonian Institution,"The Smithsonian Institution, or simply the Smithsonian, is a group of museums, education and research centers, the largest such complex in the world, created by the U.S. government ""for the increase and diffusion of knowledge"". Founded on August 10, 1846, it operates as a trust instrumentality and is not formally a part of any of the three branches of the federal government. The institution is named after its founding donor, British scientist James Smithson. It was originally organized as the United States National Museum, but that name ceased to exist administratively in 1967."
641,Arlene Holliday,
643,Phoebe Conn,"Phoebe Conn is the maiden name and pseudonym of Phoebe Jane Conn, a best-selling American author of over thirty romance novels. She has also published one novel under the pseudonym Cinnamon Burke."
644,Hugh C. McDonald,
645,Richard Lee Byers,Richard Lee Byers is an author of fantasy novels.
646,Karla Hocker,"
Karla Alexandra Höcker was a German writer and musician."
647,Dana Ransom,
648,Elsie Lee,Elsie Lee was an American author of over 35 fiction and non-fiction books.
649,Elaine Barbieri,
650,Jennifer Horsman,
651,Mary Roberts Rinehart,"Mary Roberts Rinehart was an American writer, often called the American Agatha Christie. Rinehart published her first mystery novel The Circular Staircase in 1908, which introduced the ""had I but known"" narrative style. Rinehart is also considered the source of ""the butler did it"" plot device in her novel The Door (1930), although the exact phrase does not appear in her work. She also worked to tell the stories and experiences of front line soldiers during World War I, one of the first women to travel to the Belgian front lines."
652,Eleanora Brownleigh,
653,Dieter Dengler,"Lieutenant Dieter Dengler was a German-born United States Navy aviator who was captured during the Vietnam War. After six months of imprisonment and torture, and 23 days on the run, he became only the second captured US airman to escape during the war. Of the seven prisoners of war who escaped together from the Pathet Lao prison camp in Laos, only he and Thai citizen Phisit Intharathat survived. After the war, he worked as a test pilot for private aircraft and as a commercial airline pilot."
654,Sue Studebaker,
656,Douglas G. Brinkley,"Douglas Brinkley is an American author, Katherine Tsanoff Brown Chair in Humanities, and professor of history at Rice University. Brinkley is the history commentator for CNN, Presidential Historian for the New York Historical Society, and a contributing editor to the magazine Vanity Fair. He is a public spokesperson on conservation issues. He joined the faculty of Rice University as a professor of history in 2007."
657,Roy Blount,"Roy Alton Blount Jr. is an American writer, speaker, reporter, and humorist."
658,Joyce Tenneson,"Joyce Tenneson is an American fine art photographer known for her distinctive style of photography, which often involves nude or semi-nude women."
659,Wyatt Townley,"Wyatt Townley is an American poet, author, and yoga instructor, honored as the fourth Kansas Poet Laureate (2013–2015)."
660,LIFE,Life is the characteristic that distinguishes organisms from inorganic substances and dead objects.
661,Michael Wilcox,Michael Wilcox is a British playwright.
662,Furman J Finck,
663,Julie K. Hogan,
664,J. Dwight Pentecost,"John Dwight Pentecost was an American Christian theologian, best known for his book Things to Come."
665,Erwin W. Lutzer,
666,Charles G. Finney,"Charles Grandison Finney was an American news editor and fantasy novelist, the great-grandson of evangelist Charles Grandison Finney. His first novel and most famous work, The Circus of Dr. Lao, won one of the inaugural National Book Awards: the Most Original Book of 1935."
667,Anita Frazier,
668,Mary Hillier,
669,Jane Burton,Jane Burton is an Australian photographer who lives and works in Melbourne.
670,Isaac Asimov,"Isaac Asimov was an American writer and professor of biochemistry at Boston University. During his lifetime, Asimov was considered one of the ""Big Three"" science fiction writers, along with Robert A. Heinlein and Arthur C. Clarke. A prolific writer, he wrote or edited more than 500 books. He also wrote an estimated 90,000 letters and postcards. Best known for his hard science fiction, Asimov also wrote mysteries and fantasy, as well as much non-fiction."
671,Cecil Frances Alexander,"Cecil Frances Alexander was an Anglo-Irish hymnwriter and poet. Amongst other works, she wrote ""All Things Bright and Beautiful"", ""There is a green hill far away"" and the Christmas carol ""Once in Royal David's City""."
672,Steve Nelson,"Steve Nelson may refer to:Steve Nelson (activist) (1903–1993), Communist Party member, Spanish Civil War veteran and U.S. Supreme Court litigant
Steve Nelson (songwriter) (1907–1981), radio producer and singer, co-writer of ""Frosty the Snowman""
Steve Nelson, New England Patriots football player
Steve Nelson (vibraphonist), American musician
Stephen L. Nelson, American author of computer books
Stephen Nelson (sportscaster), American television personality and play-by-play commentator
Steven Sharp Nelson, American cellist and songwriter
Steven Nelson, American football player
Steve Nelson, creator of the web programming framework Fusebox
"
673,P.K. Hallinan,
674,Pamela Kennedy,
675,Kathy Peterson,
677,Ideals,Ideal may refer to:
678,Ideals Publications Inc,
680,Colleen Callahan Gonring,
681,Ralph Luedtke,
682,Jose P. Rizal,"José Protasio Rizal Mercado y Alonso Realonda was a Filipino nationalist, writer and polymath active at the end of the Spanish colonial period of the Philippines. He is considered the national hero of the Philippines. An ophthalmologist by profession, Rizal became a writer and a key member of the Filipino Propaganda Movement, which advocated political reforms for the colony under Spain."
683,Francis G. Howarth,
684,Uno Chiyo,"Chiyo Uno  was a Japanese author and kimono designer. She was known for her contributions to Japanese fashion, film, and literature."
685,Vivian Laubach Thompson,
686,Christine Schneider,Christine Schneider is a German carpenter and politician of the Christian Democratic Union (CDU) who has been serving as a Member of the European Parliament since 2019.
687,Velde Vander,
688,David Dalton,"David Dalton may refer to:David Dalton (writer) (1942–2022), American writer
David Nigel Dalton, British National Health Service administrator
David Dalton (violist) (1934–2022), American viola player and author
David D. Dalton (1822–1894), Secretary of State of Alabama
"
689,Music Sales Corporation,"Wise Music Group is a global music publisher, with headquarters in Berners Street, London. In February 2020, Wise Music Group changed its name from The Music Sales Group."
691,Cecil Roth,"
Cecil Roth was a British Jewish historian.
He was editor in chief of Encyclopaedia Judaica."
692,Strassfeld,Straßfeld is a village in the municipality Swisttal in the North Rhine-Westphalian Rhein-Sieg district. It is situated approximately 24 km west of Bonn. In 2007 it had 465 inhabitants.
693,Charles K. Wolfe,
694,Luce Irigaray,"Luce Irigaray is a Belgian-born French feminist, philosopher, linguist, psycholinguist, psychoanalyst, and cultural theorist who examined the uses and misuses of language in relation to women. Irigaray's first and most well known book, published in 1974, was Speculum of the Other Woman (1974), which analyzes the texts of Freud, Hegel, Plato, Aristotle, Descartes, and Kant through the lens of phallocentrism. Irigaray is the author of works analyzing many thinkers, including This Sex Which Is Not One (1977), which discusses Lacan's work as well as political economy; Elemental Passions (1982) can be read as a response to Merleau‐Ponty's article “The Intertwining—The Chiasm” in The Visible and the Invisible, and in The Forgetting of Air in Martin Heidegger (1999), Irigaray critiques Heidegger's emphasis on the element of earth as the ground of life and speech and his ""oblivion"" or forgetting of air."
695,Andrea Neidle,
696,Will D. Campbell,"William, Willy, Will, Billy, or Bill Campbell may refer to:"
697,Donald Bogle,Donald Bogle is an American film historian and author of six books concerning black history in film and on television. He is an instructor at New York University's Tisch School of the Arts and at the University of Pennsylvania.
698,Walter Anderson,Walter Anderson may refer to:
699,Lyman L. Johnson,
700,Sallie Wagner,"Sarah Roberts ""Sallie"" Wagner was an American anthropologist, businesswoman, activist, filmmaker, and arts patron. She was one of the founding members of the Society for American Archaeology in 1934."
701,Dan True,
702,Forrest Carter,"Asa Earl Carter was a 1950s segregationist political activist, Ku Klux Klan organizer, and later Western novelist. He co-wrote George Wallace's well-known pro-segregation line of 1963, ""Segregation now, segregation tomorrow, segregation forever"", and ran in the Democratic primary for governor of Alabama on a white supremacist ticket. Years later, under the alias of supposedly Cherokee writer Forrest Carter, he wrote The Rebel Outlaw: Josey Wales (1972), a Western novel that led to a 1976 film featuring Clint Eastwood that was adopted into the National Film Registry, and The Education of Little Tree (1976), a best-selling, award-winning book which was marketed as a memoir but which turned out to be fiction."
703,Rudolfo A. Anaya,"Rudolfo Anaya was an American author. Noted for his 1972 novel Bless Me, Ultima, Anaya was considered one of the founders of the canon of contemporary Chicano and New Mexican literature. The themes and cultural references of the novel, which were uncommon at the time of its publication, had a lasting impression on fellow Latino writers. It was subsequently adapted into a film and an opera."
704,Paul Zolbrod,
705,Tony Hillerman,"Anthony Grove Hillerman was an American author of detective novels and nonfiction works, best known for his mystery novels featuring Navajo Nation Police officers Joe Leaphorn and Jim Chee. Several of his works have been adapted as theatrical and television movies."
706,Patricia Nelson Limerick,"Patricia Nelson Limerick is an American historian, author, lecturer and teacher, considered to be one of the leading historians of the American West."
707,Penelope Austin,"Penelope Austin is an Australian singer-songwriter. She performs electropop music. She released her debut extended play, The Beautiful Dark on 30 May 2013. She has co-written several tracks with United States record producer and songwriter, Robert Conley including ""Smoke into Flames"", ""A Place to Call Home"", and ""Don't Rescue Me"" (May). During 2013 ""A Place to Call Home"" was used for the Australian TV series of the same name. Austin and Conley co-wrote ""The Dark Collide"" with J. J. Abrams and Charles Scott. Austin's performance of ""The Dark Collide"" was used on the Australian version of the Star Trek Into Darkness soundtrack."
708,Allen Metz,
709,Loraine Burdick,
710,Anita May Pearl,
711,Donald D Hook,
712,John Pile,"
James Pile was a South Australian pastoralist who had extensive holdings on the Darling River in New South Wales, and succeeded by his sons William, John and Charles, collectively known as the Pile brothers."
713,Charles Reid,"Charles Reid may refer to:Charles Reid (1819-1901), British army officer and GCB
Charles Reid (1864-1909), Scottish rugby player
Charles Reid (snowboarder), Canadian snowboarder
Charles C. Reid (1868–1922), U.S. Representative from Arkansas
Charles Carlow Reid (1879-1961), Scottish mining engineer and father of Sir William Reid
Chip Reid, American news reporter
Tony Reid, Barbados-born American former cricketer
Charles Reid (photographer) (1837–1929), Scottish photographer
Charles S. Reid (1898–1947), chief justice of the Supreme Court of Georgia
Charles Warwick Reid, involved in Attorney General for Hong Kong v Reid, Hong Kong legal case 1993
Charles Reid (painter) (1937-2019), American painter, illustrator, and teacher
Charles Reid Barnes (1858-1910), American botanist, and bryologist"
714,Arthur L. Guptill,
715,Mark Smith,Mark Smith may refer to:
716,Robert Vickrey,"Robert Remsen Vickrey was a Massachusetts-based artist and author who specialized in the ancient medium of egg tempera. His paintings are surreal dreamlike visions of sunset shadows of bicycles, nuns in front of mural-painted brick walls, and children playing."
717,James Grayson Trulove,
718,Christopher Hart,"Christopher Hart or Harte may refer to:Christopher Hart (actor), Canadian actor
Christopher Hart (novelist), British novelist
Christopher A. Hart, former US National Transportation Safety Board Chairman
Christopher K. Hart, President and Vice Chairman of First California Mortgage
Christopher R. Hart, member of the South Carolina House of Representatives
Christopher Harte, Irish cricketer
Chris Harte, American newspaper publisher
Chris Hart, Family Affairs character
Chris Hart (musician), American-born J-Pop musician
Chris Hart IV, member of the Florida House of Representatives
"
719,Jonathan Stephenson,"

Jonathan Stephenson was an Irish nationalist politician."
720,Dong Kingman,"Dong Kingman was a Chinese American artist and one of America's leading watercolor masters. As a painter on the forefront of the California Style School of painting, he was known for his urban and landscape paintings, as well as his graphic design work in the Hollywood film industry. He has won widespread critical acclaim and his works are included in over 50 public and private collections worldwide, including Metropolitan Museum of Art, Museum of Fine Arts, Boston; Brooklyn Museum; deYoung Museum and Art Institute, Chicago."
721,Bernard Dunstan,"Bernard Dunstan was a British artist, teacher, and author, best known for his studies of figures in interiors and landscapes. At the time of his death, he was the longest serving Royal Academician."
722,Ernest Savage,"Ernest Albert Savage (1877–1966) was Principal Librarian of Edinburgh Public Libraries from 1922 to 1942, President of the Scottish Library Association from 1929 to 1931, and President of the Library Association in 1936. He wrote extensively on libraries and library science. Savage had a career-long concern with the training and professional status of librarians."
723,John Pike,"John Pike may refer to:John Pike, founder and director of the think tank GlobalSecurity.org
John Pike, police officer who instigated the UC Davis pepper spray incident
St John Pike (1909–1992), Anglican bishop
John Pike, British actor known for Ivanhoe (1958), Kidnapped (1959) and Live It Up! (1963)
John Pike (footballer) (1891–1968), Australian rules footballer
John Pike (settler), founder of Woodbridge Township, New Jersey
John Pike (1861–1919), British sport shooter
John Pike, architect of the Carib Theatre in Kingston, Jamaica"
724,Alfred Werner,"Alfred Werner was a Swiss chemist who was a student at ETH Zurich and a professor at the University of Zurich. He won the Nobel Prize in Chemistry in 1913 for proposing the octahedral configuration of transition metal complexes. Werner developed the basis for modern coordination chemistry. He was the first inorganic chemist to win the Nobel prize, and the only one prior to 1973."
726,Donelson F. Hoopes,
727,Watson Guptill Publications,
729,Barbara Nechis,
730,Stephen Doherty,
731,Robert Beverly Hale,"Robert Beverly Hale was an artist, curator of American paintings at the Metropolitan Museum of Art, and instructor of artistic anatomy at the Art Students League of New York and the Pennsylvania Academy of Fine Art. He was also the author of the well-known book Drawing Lessons from the Great Masters, as well as the translator of the classic anatomy text Artistic Anatomy by Dr. Paul Richer."
732,Burne Hogarth,"Burne Hogarth was an American artist and educator, best known for his work on the Tarzan newspaper comic strip and his series of anatomy books for artists."
733,Paul Hogarth,"Paul Hogarth, OBE, RA was an English artist and illustrator. He is best known for the cover drawings that he prepared in the 1980s for the Penguin edition of Graham Greene's books. He had distant connection with William Hogarth, whose father was also born Hoggarth."
734,Georg Shook,
735,Ramon Kelley,
738,Robert Barron,"Robert Emmet Barron is an American prelate of the Catholic Church who has served as bishop of the Diocese of Winona-Rochester since 2022. He is the founder of the Catholic ministerial organization Word on Fire, and was the host of Catholicism, a documentary TV series about Catholicism that aired on PBS. He served as rector at Mundelein Seminary from 2012 to 2015 and as auxiliary bishop for the Archdiocese of Los Angeles from 2015 to 2022."
739,Beatrice Bruteau,"Beatrice Bruteau (1930–2014) was an American contemplative, philosopher and author."
740,Eugene Bianchi,
741,Judy Sierra,
742,Harvey Minkoff,
743,Nancy Poydar,
744,Betty Ren Wright,"Betty Ren Wright was an American writer of children's fiction including Christina's Ghost, The Dollhouse Murders, The Ghosts Of Mercy Manor and A Ghost in The House."
745,Leonard Everett Fisher,Leonard Everett Fisher is an American artist best known for illustrating children's books. Since 1955 he has illustrated about 250 books for younger readers including about 88 that he also wrote.
746,Tom Birdseye,"Tom Birdseye is an American children's author. He is best known for writing books such as Attack of the Mutant Underwear, Just Call Me Stupid, and Tarantula Shoes. He signs his name with an eye at the end."
747,Tomie De Paola,"Thomas Anthony ""Tomie"" dePaola was an American writer and illustrator who created more than 260 children's books, such as Strega Nona. He received the Children's Literature Legacy Award for his lifetime contribution to American children's literature in 2011."
748,Peter Filichia,"Peter Filichia is the former New York-based theater critic for The Star-Ledger newspaper in Newark, New Jersey and New Jersey's television station News 12, as well as for The Asbury Park Press."
749,Thomas A. Kelly,
750,Grant W. Reid,
751,Annette Crandall,
752,Zoltan Szabo,"Zoltán Szabó may refer to:Zoltán Szabó (botanist) (1882–1944), floristics, plant systematics, plant physiology
Zoltán Szabó (mathematician), Hungarian mathematician and professor at Princeton University
Zoltán Szabó (1858–1934), Hungarian politician and Minister of Defence of Hungary
Zoltán Szabó (surgeon) (1929–2015), Hungarian cardiac surgeon
Zoltan Sabo, Serbian-born Hungarian football manager and retired player
Zoltán Szabó, Hungarian football player
Zoltán Szabó, Hungarian serial killer
"
753,Tom Hill,"Thomas, Tom or Tommy Hill may refer to:"
754,Carl Schmalz,
755,Marian E. Appellof,
756,Judith Wilde,
757,Jeanne Carbonetti,
758,Josephine A. Roberts,
759,Eric Foner,"Eric Foner is an American historian. He writes extensively on American political history, the history of freedom, the early history of the Republican Party, African American biography, the American Civil War, Reconstruction, and historiography, and has been a member of the faculty at the Columbia University Department of History since 1982. He is the author of several popular textbooks. According to the Open Syllabus Project, Foner is the most frequently cited author on college syllabi for history courses."
760,William C. Davis,William Davis may refer to:
761,A. E. Hartnik,
762,J. K. Rowling,"Joanne Rowling, best known by her pen name J. K. Rowling, is a British author and philanthropist. She wrote Harry Potter, a seven-volume children's fantasy series published from 1997 to 2007. The series has sold over 600 million copies, been translated into 84 languages, and spawned a global media franchise including films and video games. The Casual Vacancy (2012) was her first novel for adults. She writes Cormoran Strike, an ongoing crime fiction series, under the alias Robert Galbraith."
763,David Guterson,"David Guterson is an American novelist, short story writer, poet, journalist, and essayist. He is best known as the author of the bestselling Japanese American internment novel Snow Falling on Cedars."
764,Les Standiford,"Les Standiford is an author and, since 1985, the Founding Director of the Florida International University Creative Writing Program in Miami, Florida. He also holds the Peter Meinke Chair in Creative Writing at Eckerd College in St. Petersburg, Florida."
765,Honore De Balzac,"Honoré de Balzac was a French novelist and playwright. The novel sequence La Comédie humaine, which presents a panorama of post-Napoleonic French life, is generally viewed as his magnum opus."
766,Scott Nicholson,"Scott Nicholson is an American author specializing in horror or thrillers, often set in rural Appalachia. His debut, The Red Church, was a finalist for the Bram Stoker Award."
767,Deb Stover,
768,Carla Fredd,
769,Janice Bennett,
770,"Donald Peewee"" Gaskins""",
771,Rene Barjavel,"René Barjavel was a French author, journalist and critic who may have been the first to think of the grandfather paradox in time travel. He was born in Nyons, a town in the Drôme department in southeastern France. He is best known as a science fiction author, whose work often involved the fall of civilisation due to technocratic hubris and the madness of war, but who also favoured themes emphasising the durability of love."
772,Kenneth Meadows,
773,Louisa May Alcott,"Louisa May Alcott was an American novelist, short story writer, and poet best known as the author of the novel Little Women (1868) and its sequels Little Men (1871) and Jo's Boys (1886). Raised in New England by her transcendentalist parents, Abigail May and Amos Bronson Alcott, she grew up among many well-known intellectuals of the day, including Margaret Fuller, Ralph Waldo Emerson, Nathaniel Hawthorne, Henry David Thoreau, and Henry Wadsworth Longfellow."
774,Jack London,"John Griffith Chaney, better known as Jack London, was an American novelist, journalist and activist. A pioneer of commercial fiction and American magazines, he was one of the first American authors to become an international celebrity and earn a large fortune from writing. He was also an innovator in the genre that would later become known as science fiction."
775,Gillian Naylor,
776,Kenneth R. Wye,
777,"Celeste, Ph.D. Yarnall",
778,Robert Van De Weyer,Robert Van De Weyer is a Belgian judoka. He competed in the men's half-middleweight event at the 1972 Summer Olympics.
779,J. Star,
780,Susan McBane,
781,Shirley Whitton,
782,Sarah Maxwell,
783,Sonia Maxwell,
784,Amy Lake,
785,Sue Monk Kidd,"Sue Monk Kidd is an American writer from Sylvester, Georgia best known for her novels The Secret Life of Bees and The Invention of Wings."
786,Brian Garfield,"Brian Francis Wynne Garfield was an Edgar Award-winning American novelist, historian and screenwriter. A Pulitzer Prize finalist, he wrote his first published book at the age of eighteen. Garfield went on to author more than seventy books across a variety of genres, selling more than twenty million copies worldwide. Nineteen were made into films or TV shows. He is best known for Death Wish (1972), which launched a lucrative franchise when it was adapted into the 1974 film of the same title."
787,Melinda Rucker Haynes,
788,Joan Elizabeth Lloyd,
789,Stephen Jones,Stephen Jones may refer to:
790,Michael Ashley,"Mike or Michael Ashley may refer to:Mike Ashley (businessman), English billionaire owner of various sports-related shop chains
Mike Ashley (writer), British researcher and editor of science fiction and dark fantasy
Michael Ashley (astronomer), Australian astronomer, famous for his work in Antarctica
"
791,Frank Harris,"Frank Harris was an Irish-American editor, novelist, short story writer, journalist and publisher, who was friendly with many well-known figures of his day."
793,Michael Gold,"Michael Gold was the pen-name of Jewish American writer Itzok Isaac Granich. A lifelong communist, Gold was a novelist and literary critic. His semi-autobiographical novel Jews Without Money (1930) was a bestseller. During the 1930s and 1940s, Gold was considered the preeminent author and editor of U.S. proletarian literature."
794,H. Michael Frase,
795,Nadia Julien,
796,Brian Stableford,"Brian Michael Stableford is a British academic, critic and science fiction writer who has published more than 70 novels. His earlier books were published under the name Brian M. Stableford, but more recent ones have dropped the middle initial and appeared under the name Brian Stableford. He has also used the pseudonym Brian Craig for some of his very early and late works. The pseudonym derives from the first names of himself and of a school friend from the 1960s, Craig A. Mackintosh, with whom he jointly published some very early work."
797,Anthony Burgess,"John Anthony Burgess Wilson, who published under the name Anthony Burgess, was an English writer and composer."
798,Velma Bourgeois Richmond,
799,Patrick Degan,
800,Elaine A. Moore,
801,Janice C. Crosby,
802,Jamil I. Toubbeh,
803,Erin O'Rourke,
804,John Lutz,"John Michael Lutz is an American actor, comedian, and screenwriter. He is best known for playing J. D. Lutz on the NBC sitcom 30 Rock, and for his work as a writer on the NBC series Saturday Night Live for seven seasons. In 2014, he joined the writing staff of the NBC late-night talk show Late Night with Seth Meyers."
805,Lillian Stewart Carl,"Lillian Stewart Carl is an American author of mystery, fantasy and science-fiction novels."
806,Rosemary Edghill,"Rosemary Edghill is an American writer and editor. Some of her work has appeared under her original name, eluki bes shahar. Her primary genres are science fiction and fantasy, but she began by writing Regency romance novels."
807,Robert Sheckley,"Robert Sheckley was an American writer. First published in the science-fiction magazines of the 1950s, his many quick-witted stories and novels were famously unpredictable, absurdist, and broadly comical."
808,Joyce Lamb,
809,Emma Callery,
810,Robert Jungk,"Robert Jungk was an Austrian writer, journalist, historian and peace campaigner who wrote mostly on issues relating to nuclear weapons."
811,Christopher Maynard,"

Christopher Maynard is a former English cricketer active from 1978 to 1986 who played for Lancashire and Warwickshire. He was born in Haslemere, Surrey. He appeared in 117 first-class matches as a righthanded batsman and wicketkeeper. He scored 2,541 runs with a highest score of 132*, his only century, and held 186 catches with 28 stumpings."
812,Gerhard Gruitrooy,
813,Sarah Toast,
815,Carolyn Quattrocki,"The Maryland Health Connection is the health insurance marketplace in the U.S. state of Maryland, created in accordance with the Patient Protection and Affordable Care Act."
816,Paul Jennis,
818,International Publications,
819,Paul Warren,"Paul Warren may refer to:Paul Warren (actor), British actor
Paul Warren (cricketer), English cricket player
Paul Warren (musician), American guitar player
Paul Warren (Actor), American actor stage and screen
"
822,Marion Zimmer Bradley,"Marion Eleanor Zimmer Bradley was an American author of fantasy, historical fantasy, science fiction, and science fantasy novels, and is best known for the Arthurian fiction novel The Mists of Avalon and the Darkover series. Noted for the feminist perspective in her writing, her reputation has been posthumously marred by multiple accusations of child sexual abuse by her daughter Moira Greyland, and for allegedly assisting her second husband, convicted child abuser Walter Breen, in sexually abusing multiple unrelated children."
824,Tommy Nelson,"Thomas, Tom, or Tommy Nelson may refer to:"
825,C. S. Lewis,"Clive Staples Lewis was a British writer, literary scholar, and Anglican lay theologian. He held academic positions in English literature at both Oxford University and Cambridge University. He is best known as the author of The Chronicles of Narnia, but he is also noted for his other works of fiction, such as The Screwtape Letters and The Space Trilogy, and for his non-fiction Christian apologetics, including Mere Christianity, Miracles, and The Problem of Pain."
826,Stormie Omartian,"Stormie Omartian is an American Christian author. She is married to Michael Omartian, with whom she recorded five musical albums before she launched her writing career."
827,Michael W. Smith,"Michael Whitaker Smith is an American musician who has charted in both contemporary Christian and mainstream charts. His biggest success in mainstream music was in 1991 when ""Place in This World"" hit No. 6 on the Billboard Hot 100. Over the course of his career, he has sold more than 18 million albums."
828,Stephen Arterburn,"Stephen ""Steve"" Arterburn from Ranger, Texas is the founder and chairman of New Life Ministries and host of the syndicated Christian counseling talk show New Life Live! available on XM and Sirius Satellite radio and on NRB Network. Arterburn is also the host of New Life TV, a web-based Christian ministry. Arterburn is the founder of the Women of Faith conferences. He also serves as a teaching pastor in Carmel, Indiana."
830,Nicole Johnson,"Nicole Johnson may refer to:Nicole Johnson, American professional monster truck driver and competition rock crawler
Nicole Johnson, Miss America 1999, diabetes advocate
Nicole Randall Johnson, American comic actress
Nicole Johnson, Miss California USA 2010 
Nicole Johnson (songwriter), American songwriter
"
831,Diana Hagee,"John Charles Hagee is an American pastor and televangelist. He is the founder of John Hagee Ministries, his ministry which telecast to the United States and Canada. Hagee is also the founder and chairman of the Christian-Zionist organization Christians United for Israel."
